#--------------------------------------------------------------------------------,
         5,       20.,0, ,      6.09,0, ,     29.41,0, ,
         6,       25.,0, ,      6.93,0, ,     31.15,0, ,
         7,       30.,0, ,      7.47,0, ,     32.19,0, ,
         8,       35.,0, ,      7.70,0, ,     32.49,0, ,
         9,       40.,0, ,      7.95,0, ,     32.72,0, ,
        10,       45.,0, ,      8.24,0, ,     32.94,0, ,
        11,       50.,0, ,      8.57,0, ,     33.13,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851541,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,        58.4488,decimal degrees,,
Longitude                   ,,         20.900,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,             10,,,
Time                        ,,          11.12,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     5.854,0, ,     7.375,0, ,   ---*---,0, ,
         2,        5.,0, ,     5.871,0, ,     7.376,0, ,   ---*---,0, ,
         3,       10.,0, ,     5.875,0, ,     7.376,0, ,   ---*---,0, ,
         4,       15.,0, ,     5.877,0, ,     7.376,0, ,   ---*---,0, ,
         5,       20.,0, ,     5.879,0, ,     7.377,0, ,   ---*---,0, ,
         6,       25.,0, ,     5.874,0, ,     7.376,0, ,   ---*---,0, ,
         7,       30.,0, ,     5.873,0, ,     7.376,0, ,   ---*---,0, ,
         8,       35.,0, ,     5.877,0, ,     7.376,0, ,   ---*---,0, ,
         9,       40.,0, ,     5.881,0, ,     7.377,0, ,   ---*---,0, ,
        10,       45.,0, ,     5.885,0, ,     7.377,0, ,   ---*---,0, ,
        11,       50.,0, ,     5.889,0, ,     7.377,0, ,   ---*---,0, ,
        12,       55.,0, ,     5.886,0, ,     7.377,0, ,   ---*---,0, ,
        13,       60.,0, ,     5.885,0, ,     7.377,0, ,   ---*---,0, ,
        14,       65.,0, ,     5.881,0, ,     7.377,0, ,   ---*---,0, ,
        15,       70.,0, ,     5.894,0, ,     7.379,0, ,   ---*---,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851542,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         59.033,decimal degrees,,
Longitude                   ,,         21.083,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,             10,,,
Time                        ,,          17.27,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     5.311,0, ,     7.115,0, ,   ---*---,0, ,
         2,        5.,0, ,     5.323,0, ,     7.115,0, ,   ---*---,0, ,
         3,       10.,0, ,     5.326,0, ,     7.115,0, ,   ---*---,0, ,
         4,       15.,0, ,     5.337,0, ,     7.115,0, ,   ---*---,0, ,
         5,       20.,0, ,     5.336,0, ,     7.115,0, ,   ---*---,0, ,
         6,       25.,0, ,     5.334,0, ,     7.115,0, ,   ---*---,0, ,
         7,       30.,0, ,     5.454,0, ,     7.125,0, ,   ---*---,0, ,
         8,       35.,0, ,     5.513,0, ,     7.137,0, ,   ---*---,0, ,
         9,       40.,0, ,     5.546,0, ,     7.143,0, ,   ---*---,0, ,
        10,       45.,0, ,     5.576,0, ,     7.147,0, ,   ---*---,0, ,
        11,       50.,0, ,     5.663,0, ,     7.162,0, ,   ---*---,0, ,
        12,       55.,0, ,     6.205,0, ,     7.288,0, ,   ---*---,0, ,
        13,       60.,0, ,     6.108,0, ,     7.343,0, ,   ---*---,0, ,
        14,       65.,0, ,     6.197,0, ,     7.373,0, ,   ---*---,0, ,
        15,       70.,0, ,     6.478,0, ,     7.611,0, ,   ---*---,0, ,
        16,       75.,0, ,      6.28,0, ,     8.459,0, ,   ---*---,0, ,
        17,       80.,0, ,     6.125,0, ,     9.347,0, ,   ---*---,0, ,
        18,       85.,0, ,     5.869,0, ,    10.102,0, ,   ---*---,0, ,
        19,       90.,0, ,     5.901,0, ,    10.477,0, ,   ---*---,0, ,
        20,       95.,0, ,      5.95,0, ,    10.647,0, ,   ---*---,0, ,
        21,      100.,0, ,     6.077,0, ,    11.007,0, ,   ---*---,0, ,
        22,      125.,0, ,     6.342,0, ,    11.538,0, ,   ---*---,0, ,
        23,      150.,0, ,     6.367,0, ,    11.585,0, ,   ---*---,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851543,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         59.383,decimal degrees,,
Longitude                   ,,         21.817,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,             10,,,
Time                        ,,          22.93,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
Original units        ,Oxygen,            88.,NODC code,ml/l (milli-iter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     5.015,0, ,     6.933,0, ,   ---*---,0, ,
